241,'comisch01',1886,'SL4',187,'AA',1,139,93,46,1,'Y'
242,'morrijo01',1886,'BSN',176,'NL',1,118,56,61,5,'Y'
243,'ansonca01',1886,'CHN',177,'NL',1,126,90,34,1,'Y'
244,'watkibi01',1886,'DTN',179,'NL',1,126,87,36,2,'N'
245,'roweda01',1886,'KCN',180,'NL',1,126,30,91,7,'Y'
246,'mutriji99',1886,'NY1',182,'NL',1,124,75,44,3,'N'
247,'wrighha01',1886,'PHI',185,'NL',1,119,71,43,4,'N'
248,'schmegu99',1886,'SL5',188,'NL',1,126,43,79,6,'N'
249,'scanlmi99',1886,'WS8',189,'NL',1,82,13,67,8,'N'
250,'gaffnjo99',1886,'WS8',189,'NL',2,43,15,25,8,'N'
251,'barnibi01',1887,'BL2',190,'AA',1,141,77,58,3,'N'
252,'byrnech99',1887,'BR3',191,'AA',1,138,60,74,6,'N'
253,'williji99',1887,'CL3',194,'AA',1,133,39,92,8,'N'
254,'schmegu99',1887,'CN2',195,'AA',1,136,81,54,2,'N'
255,'kellyjo01',1887,'LS2',198,'AA',1,139,76,60,4,'N'
256,'fergubo01',1887,'NY4',200,'AA',1,30,6,24,7,'N'
257,'orrda01',1887,'NY4',200,'AA',2,8,3,5,7,'Y'
258,'cayloop99',1887,'NY4',200,'AA',3,100,35,60,7,'N'
259,'bancrfr99',1887,'PH4',201,'AA',1,55,26,29,5,'N'
260,'masonch01',1887,'PH4',201,'AA',2,82,38,40,5,'N'
261,'comisch01',1887,'SL4',204,'AA',1,138,95,40,1,'Y'
262,'kellyki01',1887,'BSN',192,'NL',1,95,49,43,5,'Y'
263,'morrijo01',1887,'BSN',192,'NL',2,32,12,17,5,'Y'
264,'ansonca01',1887,'CHN',193,'NL',1,127,71,50,3,'Y'
265,'watkibi01',1887,'DTN',196,'NL',1,127,79,45,1,'N'
266,'burnhwa99',1887,'IN3',197,'NL',1,28,6,22,8,'N'
267,'thomafr99',1887,'IN3',197,'NL',2,29,11,18,8,'N'
268,'fogelho99',1887,'IN3',197,'NL',3,70,20,49,8,'N'
269,'mutriji99',1887,'NY1',199,'NL',1,129,68,55,4,'N'
270,'wrighha01',1887,'PHI',202,'NL',1,128,75,48,2,'N'
271,'phillho99',1887,'PIT',203,'NL',1,125,55,69,6,'N'
272,'gaffnjo99',1887,'WS8',205,'NL',1,126,46,76,7,'N'
273,'barnibi01',1888,'BL2',206,'AA',1,139,57,80,5,'N'
274,'mcgunbi01',1888,'BR3',207,'AA',1,143,88,52,2,'N'
275,'williji99',1888,'CL3',210,'AA',1,64,20,44,6,'N'
276,'loftuto01',1888,'CL3',210,'AA',2,71,30,38,6,'N'
277,'schmegu99',1888,'CN2',211,'AA',1,137,80,54,4,'N'
278,'roweda01',1888,'KC2',214,'AA',1,50,14,36,8,'Y'
279,'barklsa01',1888,'KC2',214,'AA',2,58,21,36,8,'Y'
280,'watkibi01',1888,'KC2',214,'AA',3,25,8,17,8,'N'
281,'kellyjo01',1888,'LS2',215,'AA',1,39,10,29,7,'N'
282,'davidmo99',1888,'LS2',215,'AA',2,3,1,2,7,'N'
